Name,Online_order,Book_table,Rate,Votes,Dish_liked,Approx_cost(for two people)
Roti Ghar,1,No,3.9 out of 5,750,"Coffee, Spring Roll, Roti, Panneer Butter Masala, Noodles, Butter Naan, Masala Dosa",500
Baisakhi,1,No,3.8 out of 5,527,"Masala Chaach, Tomato Shorba, Gajar Ka Halwa, Biryani, Deluxe Punjabi Thali, Rajma, Paneer Tikka Masala",500
Poonam Sweets,0,No,4.4 out of 5,356,"Dhokla, Jalebi, Badam Milk, Rabri, Rasgulla, Rasmalai, Samosa Kachori",150
Polar Bear,1,No,3.9 out of 5,116,"Sandwiches, Hot Chocolate Fudge, Strawberry Milkshake",400
Floured-Baked With Love,0,No,3.8 out of 5,45,"Cup Cake, Chocolate Cake",400
Sri Venkateshwara Sweet Meat Stall,0,No,4.0 out of 5,98,"Mysore Pak, Pav Bhaji, Chaat, Masala Poori, Badam Milk, Paratha, Panipuri",400
A2B Veg - Adyar Ananda Bhavan,1,No,2.7 out of 5,97,Masala Dosa,400
Jcubez,0,Yes,3.8 out of 5,977,"Beer, Chicken Wings, Chilli Chicken, Onion Rings, Fries","1,300"
Chung Wah,1,No,3.9 out of 5,519,"Tom Yum Soup, Wine, Spring Roll, Singapore Noodles, Manchow Soup, Golden Fried Prawns, Lamb",900
Iyer's Tiffin Centre,0,No,3.8 out of 5,62,"Kesari Bath, Masala Dosa",150
Beijing Bites,0,No,2.7 out of 5,128,"Cantonese Noodles, Basil Chicken, Hunan Chicken Gravy, Manchow Soup, Dragon Chicken, Chicken Grill",850
Pizza Hut,1,No,3.7 out of 5,405,"Pizza, Potato Wedges, Country Feast, Pasta, Garlic Bread, Lemonade",750
Taaza Thindi,0,No,4.7 out of 5,651,"Masala Dosa, Vada, Upma, Filter Coffee, Kesari Bath, Idli Chutney, Kharabath",100
Sri Laxmi Venkateshwara Coffee Bar,0,No,4.4 out of 5,343,"Masala Dosa, Idli Chutney, Kharabath, Filter Coffee, Kesari Bath, Idli Vada, Maddur Vada",100
Messy Bowl,0,No,3.8 out of 5,70,"Tandoori Maggi, Paneer Sizzler, Pasta, Pizza, Butter Garlic Fries, Peri Peri Maggi, Garlic Maggi",500
Hotel Mangala,0,No,3.9 out of 5,88,"Khali Dosa, Kali Dosa, Masala Dosa, Vada Sambar",250
SLV Swadishta,0,No,3.8 out of 5,189,"Coffee, Jeera Rice, Masala Dosa, Neer Dosa",300
New Sagar Fast Food,0,No,3.6 out of 5,71,"Vegetable Biryani, Masala Dosa, Kulcha, Masala Papad, Tomato Soup",250
Pizza Stop,1,No,3.0 out of 5,87,"Garlic Bread, Pasta, Nachos, Salsa, Thin Crust Pizza",600
SLV Refreshment,0,No,4.1 out of 5,94,"Coffee, Masala Dosa, Kharabath, Idli Vada, Kesari Bath",100
Kavali,0,No,4.0 out of 5,42,"Cheese Dosa, Chocolate Dosa, Corn Dosa, Pesarattu, Bread Dosa",300
Ranganna Military Hotel,0,No,4.2 out of 5,725,"Mutton Biryani, Mutton Chops, Chicken Biryani, Chicken Fry, Paya, Mutton Fry, Chilli Chicken",350
Vidyarthi Bhavan,0,No,4.4 out of 5,4460,"Filter Kaapi, Filter Coffee, Khara Bhath, Maddur Vada, Crispy Masala Dosa, Kesari Bath, Ghee Masala Dosa",150
Bharjari Oota,0,No,3.9 out of 5,153,"Curd Rice, Coriander Soup, Masala Dosa, Biryani, Thali",350
Soho Bar & Grill,0,No,2.7 out of 5,377,"Thai Chicken, Chicken Lollipop, Cocktails, Jeera Rice, Rolls, Draught Beer, French Fries","1,100"
Bhavani Restaurant,0,No,3.9 out of 5,100,"Coffee, Vada, Curd Rice, Ghee Roast Paneer, Thali",300
Zephyr,0,No,3.9 out of 5,133,"Chilli Paneer Pizza, Mocktails, French Fries, White Sauce Pasta, Nachos, Manchurian",650
Hotel Dwarka,0,No,4.2 out of 5,253,"Khali Dosa, Kali Dosa, Upma, Filter Coffee, Kesari Bath, Set Dosa, Masala Dosa",250
Ma-Arya Family Restaurant,0,No,3.7 out of 5,61,"Mutton Biryani, Crispy Fried Chicken",600
Udupi Sri Krishna Bhavan,0,No,4.1 out of 5,238,"Masala Dosa, Vada, Obbattu, Badam Milk, Khara Bhath, Coffee, Puri Saagu",600
Ice Thunder,0,No,3.8 out of 5,124,"Masala Poori, Rumali Roti, Sandwiches, Chaat, Burgers",300
Upahara Darshini,0,No,4.2 out of 5,254,"Masala Dosa, Vada, Set Dosa, Filter Coffee, Raita, Idli Sambar, Crispy Dosa",150
Mahalaxmi Tiffin Room,0,No,4.1 out of 5,177,"Filter Coffee, Rava Idli, Kali Dosa, Carrot Halwa, Idli Vada, Vada Sambar, Bonda",100
Sandwichwallas,1,No,4.0 out of 5,132,"Sandwiches, Veg Burger, Pizza Sandwich, Burgers, French Fries, Wedges, Club Sandwich",200
Basavanagudi Mylari,0,No,4.0 out of 5,52,"Coffee, Idli, Masala Dosa, Sagu Dosa, Kesari Bath, Kharabath, Plain Dosa",300
Pramukh Family Restaurant,0,No,3.9 out of 5,111,"Murgh Ghee Roast, Malai Kofta, Butter Chicken, Donne Biryani, Cocktails, Palak Rice, Masala Peanuts",700
Vybhava,0,No,3.8 out of 5,39,"Masala Dosa, Idli, Vada Sambar",250
Shree Venkateshwara North Karnataka Hotel,0,No,4.0 out of 5,64,"Buttermilk, Jolada Rotti",200
Belly Squad Food Truck,0,No,3.8 out of 5,55,"Biryani, Momos, Rolls",300
Deja Vu Resto Bar,1,Yes,4.4 out of 5,2487,"Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta",900
Fattoush,1,Yes,4.2 out of 5,1964,"Mango Chiller, Fattoush, Prawn, Salads, Vegetable Biryani, Irani Chicken Tikka, Chilli Chicken","1,000"
Empire Restaurant,1,No,4.3 out of 5,3178,"Chicken Satay, Mutton Brain, Egg Biryani, Paneer Tikka Masala, Rolls, Lemon Chicken, Butter Chicken",750
Abhiruchi Hotel,1,No,3.3 out of 5,455,"Egg Biryani, Chicken Curry, Chicken Boneless Biryani, Chilli Chicken, Vegetable Biryani, Jeera Rice",550
Barbeque Nation,0,Yes,4.7 out of 5,3845,"Lunch Buffet, Goan Fish Curry, Mocktails, Chicken Biryani, Cocktails, Paan Kulfi, Pasta","1,600"
Sattvam,0,No,4.3 out of 5,353,"Noodles, Veg Buffet, Mango Juice, White Pasta, Panipuri, Thin Crust Pizza, Dal Makhani","1,200"
24th Main,0,Yes,4.1 out of 5,1234,"Carrot Halwa, Paneer Satay, Manchow Soup, Gajar Ka Halwa, Butter Naan, Mocktails, Tandoori Mushrooms",800
Zaitoon,1,Yes,4.1 out of 5,1538,"Hummus Falafel, Gulab Jamun, Shawarma, Bbq Chicken, Mojito, Chicken Biryani, Manchow Soup","1,000"
Oye Amritsar,1,Yes,3.8 out of 5,756,"Lassi, Raita, Dal Makhani, Panneer Butter Masala, Jalebi, Biryani, Paneer Tikka","1,000"
Melt - Eden Park,1,Yes,4.0 out of 5,347,"Tandoori Chicken, Biryani, Paneer Tikka, Chicken Curry, Plain Rice, Cheese Naan, Malaysian Noodles","1,000"
Spice Code,0,Yes,4.0 out of 5,165,"Fries, Lunch Buffet, Appam, Manchow Soup, Paneer Tikka, Vegetable Stew, Biryani","1,000"
The Onyx - The HHI Select Bengaluru,0,No,3.3 out of 5,177,"Chaat, Custard, Fish, Pepper Chicken, Lunch Buffet, Chicken Tikka, Salads",950
Sankranthi Veg Restaurant,1,No,3.0 out of 5,102,"Tea, Vada Sambar, Masala Dosa",600
Cafe Kabana,0,Yes,4.0 out of 5,200,"Mocktails, Peri Peri Chicken Pizza, Wings, Pasta, English Breakfast, Fries, Jalapeno Cheeseballs",700
Butterly,1,No,3.9 out of 5,102,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake",450
Black Mug Cafe,1,No,3.7 out of 5,171,Coffee,300
#refuel,1,No,3.7 out of 5,37,"Thick Shakes, Sandwiches, Pasta, Mocktails",400
WAFL,1,No,3.9 out of 5,40,Waffles,400
Vaho Kafe & Pressery,0,No,3.9 out of 5,125,"Salad, Chicken Curry, Peri Peri Chicken, Thai Red Curry, Momos, Chicken Satay, Pasta",500
Dreamcatcher,1,No,3.9 out of 5,49,"English Breakfast, Sandwiches",600
Cafe Arabica,0,No,3.8 out of 5,69,"Coffee, French Fries, Lemon Tea, Veg Sandwich",700
Kalmane Koffees,0,No,3.9 out of 5,78,"Brownie, Filter Coffee",350
Brews N Bites,1,No,2.7 out of 5,48,Thin Crust Pizza,650
Slate Cafe,1,No,4.1 out of 5,46,"Pasta, Sandwiches",600
Dialogues,0,No,4.0 out of 5,129,"Mayo Sandwich, Pasta, Egg Sandwich, Coffee, Potato Wedges, Vegetable Noodles, Fries",600
Mudpipe Cafe,1,Yes,3.9 out of 5,727,"Coffee, Pizza, Nachos, Kit Kat Shake, Garlic Bread, Mexican Rice, Burgers",800
TAB - Take A Break,0,No,4.1 out of 5,521,"Pizza, Salads, Pasta, Sandwiches, Veg Quiche, Coffee, Tea",550
Biggies Burger 'n' More,1,No,4.1 out of 5,203,"Burgers, Mojito, Lamb Burger, French Fries, Hot Dog, Bbq Burger, Wedges",650
Onesta,1,Yes,4.4 out of 5,4381,"Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza",600
Cafe Potpourri,1,No,3.7 out of 5,131,"Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich",400
Vinaya Coffee Moments,1,No,3.7 out of 5,46,"Filter Coffee, Pizza, Pasta",450
Cuppa,0,No,3.4 out of 5,48,"Coffee, Potato Wedges, Tea",550
Skytouch Le Cafe,1,No,3.7 out of 5,127,"Pizza, Pasta, Bubble Tea, Brownie, Pancakes, Cheesy Garlic Bread, Chocolate Waffles",700
Woodee Pizza,1,No,2.7 out of 5,85,"Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes",500
eat.fit,1,No,4.5 out of 5,1178,"Healthy Breakfast, Salads, Date Pudding, Chicken Curry, Hakka Noodles, Fruit Bowl, Dal Makhani",500
Sai Abhiruchi,1,No,3.7 out of 5,335,"Dum Biryani, Dal Fry, Paneer Biryani",800
Capsicum Family Restaurant,1,No,3.8 out of 5,254,Mutton Biryani,800
Easy Bites,1,No,4.1 out of 5,63,"Sandwich, Crispy Chicken, French Fries",300
Hiyar Majhe Kolkata,1,No,4.0 out of 5,244,"Radhaballavi, Biryani, Egg Noodles, Egg Roll, Fish Curry, Egg Devils, Thali",400
Sri Lakshmi Dhaba,1,No,2.9 out of 5,255,"Paratha, Shahi Paneer",250
XO Belgian Waffle,1,No,4.5 out of 5,549,"Blueberry Waffles, Nutella Waffle, Hot Chocolate, Thick Shakes, Coffee, Oreo Shake, Chocolate Oreo",400
Swadista Aahar,1,No,4.1 out of 5,775,"Panneer Butter Masala, Idli, Masala Dosa, Vada, Coffee, Roti, Thali",300
Al-Bek,1,No,3.6 out of 5,208,"Chicken Grill, Biryani",300
Aniram's,1,No,4.1 out of 5,739,"Chilli Chicken, Butter Chicken, Kadhai Paneer, Hyderabadi Chicken Biryani, Jeera Rice, Ghee Rice, Chicken Masala",500
Punjabi Nawabi,1,No,3.8 out of 5,310,"Dal Makhani, Lassi, Butter Chicken, Panneer Butter Masala, Mix Veg, Saag, Butter Naan",400
Swad Punjab Da,1,No,4.0 out of 5,126,"Lassi, Roti, Veg Thali, Aloo Paratha, Egg Curry",150
BOX8- Desi Meals,1,No,4.1 out of 5,427,"Paratha, Salads, Dal Makhani, Salad, Masala Lemonade, Paneer Biryani, Sandwiches",500
Roti Wala,1,No,4.0 out of 5,197,"Gulab Jamun, Buttermilk, Egg Bhurji, Sprout Salad, Roti",300
Midnight Mania,1,No,4.1 out of 5,601,"Peri Peri Chicken, Chicken Pizza, White Pasta, Kit Kat Shake",700
Kitchens@JP Nagar,1,No,3.9 out of 5,488,Vegetable Biryani,400
Krishna Kuteera,1,No,4.0 out of 5,396,"Pav Bhaji, Coffee, Set Dosa, Vada, Masala Poori",400
Apna Punjab,1,No,3.6 out of 5,474,"Thali, Egg Masala, Chole, Paratha, Roti, Butter Chicken, Paneer Manchurian",450
Paratha Junction,1,No,2.9 out of 5,172,"Paratha, Kadai Paneer",300
Nellore Bhojanam,1,No,3.1 out of 5,175,Biryani,250
Momoz,1,No,4.0 out of 5,939,"Momos, Noodles, Thukpa, Crispy Honey Chicken, Manchow Soup, Manchurian, Chicken Momo",600
Kalingas,1,No,3.9 out of 5,173,"Rasgulla, Mutton Kosha, Chicken Kasha, Samosa Chaat, Kheer, Veg Thali",250
Kanteen The Eatery,1,No,3.9 out of 5,77,"Chole Bhature, Pav Bhaji, Misal Pav",400
Kullad Cafe,1,No,3.9 out of 5,326,"Poha, Coffee, Chai, Rolls, Ginger Tea, Aloo Paratha, Elaichi Tea",200
Donne Biriyani House,1,No,3.3 out of 5,212,"Biryani, Kshatriya Kebab",350
Litti Twist,1,No,4.1 out of 5,464,"Litti, Liti Chokha, Lassi, Tea, Paratha, Thali, Chai",300
FreshMenu,1,No,3.3 out of 5,628,"Rolls, Salads, Salad, Sandwiches, Pasta, Burgers, Croissants",450
Shanthi Sagar,1,No,3.6 out of 5,518,"Coffee, Mushroom Masala, Masala Dosa, Palak Paneer",400
Cakebuy,1,No,3.9 out of 5,70,Chocolate Truffle,350
Five Star Chicken,1,No,3.9 out of 5,62,Fries,300
Corner House Ice Cream,1,No,4.4 out of 5,819,"Hot Chocolate Fudge, Chocolate Malt, Thick Shakes, Chocolate Nut Sundae, Ice Cream Sundae, Fudge Cake, Coffee",400
Behrouz Biryani,1,No,4.0 out of 5,138,"Gulab Jamun, Vegetable Biryani, Mint Raita",650
Hind Ka Chulah,1,No,3.8 out of 5,181,"Butter Chicken, Chole, Chicken Tikka, Biryani Combo, Roti, Tandoori Chicken, Naan",600
Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,1,No,3.6 out of 5,43,"Fruit Custard, Russian Cutlet",300
Pizza Hut,1,No,2.7 out of 5,159,Prompt Service,750
Subway,1,No,3.2 out of 5,166,Salad,600
Biryani Durbar,1,No,3.7 out of 5,128,"Chicken Biryani, Chicken Kebab",400
Mahesh Friends Food Center,1,No,2.9 out of 5,126,Lassi,300
Kabab Magic,1,No,4.0 out of 5,952,"Chicken Grill, Biryani, Shawarma Roll, Rolls, Chicken Kebab, Chicken Shwarma Roll, Pulpy Grape Juice",400
Burger King,1,No,3.8 out of 5,472,"Burgers, Whopper Meal, Crispy Chicken, French Fries, Grilled Wings",600
Dadi's Dum Biryani,1,Yes,4.0 out of 5,739,"Chicken Biryani, Basmati Rice, Prawn, Tandoori Chicken, Vegetable Biryani, Galauti Kebab, Faluda",800
Alankrutha,1,No,3.9 out of 5,255,"Chicken Biryani, Hyderabadi Biryani, Dum Biryani",500
Paradise,1,No,4.0 out of 5,1974,"Kalmi Kabab, Hyderabadi Dum Biryani, Vegetable Biryani, Haleem, Supreme Mutton Biryani, Paneer Tikka, Hyderabadi Mutton Biryani",800
Mughlai Kitchen,1,No,3.5 out of 5,269,"Momos, Oreo Shake",600
Andhra Ruchulu,1,Yes,4.2 out of 5,1428,"Paneer Tikka, Bhuna Gosht, Andhra Meal, Chicken Biryani, Chicken Guntur, Chicken Sholey Kebab, Andhra Biryani",800
Adithya,1,No,4.0 out of 5,332,"Neer Dosa, Coffee, Pav Bhaji, Khali Dosa, Panipuri, Masala Dosa, Tea",300
Cheesiano Pizza,1,Yes,4.0 out of 5,199,"Pasta, Fries, Cheesiano Pizza, Veggie Pizza, Cheesy Garlic Bread, Peri Peri Paneer Pizza",700
Le Arabia,1,No,NEW,0,Chicken Biryani,600
KFC,1,No,3.9 out of 5,437,"Burgers, Wings, Fries, Rice Bowl, Popcorn Chicken, Zinger Burger, Chicken Snacker",400
Dande's Hyderabad Biryani,1,No,3.8 out of 5,207,"Chicken Boneless Biryani, Lemon Chicken, Dum Biryani",700
Upahara Bhavan,1,No,3.8 out of 5,55,"Masala Dosa, Idli, Coffee, Vada, Set Dosa",300
Shuddh Desi Khana,1,No,4.0 out of 5,597,"Paratha, Chicken Kebab, Biryani, Lassi, Butter Chicken, Veg Kolhapuri, Pahari Chicken",400
Aramane Donne Biriyani,1,No,3.9 out of 5,189,"Egg Biryani, Donne Biryani",300
Mani's Dum Biryani,1,No,4.2 out of 5,373,"Paneer Biryani, Raita, Gulab Jamun, Vegetable Biryani, Dum Biryani, Chicken Boneless Biryani, Chicken Kebab Biryani",750
Amontron,1,No,3.9 out of 5,435,"Katla Kalia, Basanti Pulao, Biryani, Aloo Posto, Mutton Kosha, Ilish, Mutton Dak Bunglow",650
Birinz,1,No,4.1 out of 5,292,"Chicken Boneless Biryani, Hyderabadi Biryani, Egg Chilli, Tomato Soup, Mutton Biryani, Butter Chicken Biryani, Paneer Biryani",700
Just Shawarma,1,No,3.6 out of 5,137,"Fries, Whole Meat Shawarma",300
Hyderabadi Bawarchi,1,No,3.2 out of 5,133,"Raita, Vegetable Biryani, Hyderabadi Biryani, Chicken Curry, Chicken Biryani",500
Fish Chain,1,No,3.9 out of 5,37,Fish Curry,250
Prasiddhi Food Corner,1,No,3.7 out of 5,170,Coffee,200
Hyderabad Biryaani House,1,No,3.6 out of 5,794,"Hyderabadi Biryani, Chicken Biryani, Raita, Mutton Biryani, Vegetable Biryani, Butter Chicken, Basmati Rice",550
Galito's,1,No,4.6 out of 5,404,"Chicken Grill, Garlic Bread, Mocktails, Burgers, Fries, Salads, Pudding","1,000"
Rajdhani Thali Restaurant,1,Yes,3.9 out of 5,561,"Mango Lassi, Dhokla, Khichda, Kesaria Lassi, Rajdhani Thali, Rabri, Buttermilk",900
PHEW (Play Hard Eat Wild),1,Yes,3.9 out of 5,486,"Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings",700
Chicken County Grand,1,No,3.9 out of 5,320,"Chicken Grill, Fish, Shawarma, Rolls, Tandoori Chicken, Hyderabadi Chicken, Chicken Roll",650
Roll Over,1,No,4.1 out of 5,237,"Rolls, Ice Cream Roll, Fries, Chocolate Icecreams, Banana Nutella, Chocolate Ball, Waffles",500
Savoury - Sea Shell Restaurant,1,Yes,3.9 out of 5,1227,"Shawarma, Biryani, Chicken Grill, Rolls, Tomato Soup, Haleem, Sea Food",900
Firangi Bake,1,No,4.0 out of 5,95,Lasagne,600
Kundana,1,No,3.7 out of 5,110,"Lemon Chicken, Chicken Dum Biryani, Mutton Biryani",800
The Shawarma Shop,1,No,4.1 out of 5,381,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",250
Faasos,1,No,3.9 out of 5,251,"Rolls, Sabudana Vada, Veggie Wrap, Chicken Wrap, Dal Makhani, Paneer Wrap, Meat Balls",500
Punjabi Food Corner,1,No,3.0 out of 5,353,"Kheer, Lassi, Paratha, Amritsari Kulcha, Dal Makhani, Chole Bhature, Aloo Kulcha",400
Mealer.in,1,No,4.0 out of 5,205,"Rajma, Dal Makhani, Kadhi Chawal, Dal Tadka",450
Pathaan Sir,1,No,3.9 out of 5,183,"Rolls, Momos, Paratha, Chicken Tikka Roll, Mutton Keema, Egg Roll",250
Cold Stone Creamery,1,No,3.9 out of 5,99,"Brownie, Chocolate Devotion, Icecream Cake, Cotton Candy Ice Cream, Coffee, Strawberry Smoothie",400
Amritsari Kulcha Land,1,No,4.1 out of 5,260,"Lassi, Amritsari Kulcha, Punjabi Kulcha, Paneer Kulcha, Punjabi Chole, Aloo Kulcha, Paratha",300
Chokha Chowka,1,No,3.9 out of 5,355,"Chaat, Samosa, Thali, Sweet Lassi, Biryani, Egg Roll, Masala Paneer",400
Gorbandh,1,No,4.1 out of 5,83,"Aloo Paratha, Samosa, Kachori, Poha, Chaat",400
Grills & Rolls,1,No,2.5 out of 5,321,"Shawarma, Chicken Grill, Tandoori Chicken, Butter Chicken, Rolls, Chicken Tikka, Grape Juice",400
Bathinda Junction,1,No,3.9 out of 5,362,"Lassi, Shikanji, Dal Makhani, Makke Ki Roti, Butter Chicken, Paneer Punjabi, Chicken Curry",600
Stories,1,Yes,4.2 out of 5,2166,"Cocktails, Pizza, Fries, Pasta, Chicken Sizzler, Mocktails, Long Island Iced Tea","1,200"
Kanti Sweets,1,No,4.0 out of 5,182,"Rasmalai, Pav Bhaji",400
Seasons,1,Yes,3.8 out of 5,500,"Biryani, Sea Food, Egg Masala, Barbeque Chicken, Fish Grill, Appam, Raita","1,000"
Chung Wah,1,No,4.0 out of 5,532,"Chicken Chowmein, Chicken Manchow Soup, Clear Soup, Momos, Fried Noodles, Chop Suey, Spring Roll",800
Marwa Restaurant,1,Yes,3.5 out of 5,551,"Kalmi Kabab, Gulab Jamun, Chicken Grill, Shawarma Roll, Vegetarian, Barbeque Chicken, Dal Fry",600
Shanghai Court,1,No,4.2 out of 5,421,"Chicken Manchow Soup, Hunan Chicken, Pad Thai, Singapore Noodles, Dragon Rolls, Momos, Thai Red Curry",700
Bhojohori Manna,1,No,3.7 out of 5,662,"Fish, Kosha Mangsho, Mishti Doi, Aam Panna, Prawn, Nolen Gurer Ice Cream, Luchi",650
Hunger Bee,1,No,3.8 out of 5,54,"Chicken Curry, Chicken Biryani, Jeera Rice, Paneer Biryani, Ghee Rice, Roti, Aloo Matar",500
Yum In My Tum,1,No,4.1 out of 5,92,"Momos, Manchow Soup, Pizza Sandwich, Spring Roll, Noodles, Fries, Fried Rice",300
Biryani Miya,1,No,3.7 out of 5,36,Chicken Biryani,600
Chulha Chauki Da Dhaba,1,No,4.2 out of 5,2350,"Egg Chilli, Chilli Babycorn, Chicken Curry, Sweet Lassi, Palak Paneer, Chaach, Butter Chicken",800
Magix's Parattha Roll,1,No,3.7 out of 5,184,"Rolls, Chicken Roll, Tandoori Chicken, Biryani, Chicken Lollipop, Paratha, Chicken Grill",400
Elegant Dining,1,Yes,3.6 out of 5,225,"Chicken Tikka, Chicken Biryani, Roti, Naan, Panneer Butter Masala",700
Waffle Head,1,No,4.0 out of 5,35,"Marshmallow, Chocolate Waffles",300
Basmati Delights,1,No,4.0 out of 5,869,"Tandoori Chicken, Mutton Biryani, Andhra Biryani, Raita, Hyderabadi Dum Biryani, Chicken Boneless Biryani, Vegetable Biryani",500
Samosa Singh,1,No,4.0 out of 5,153,"Samosa, Chicken Chettinad, Murgh Makhani",200
Cravings,1,No,3.7 out of 5,139,"Malai Kofta, Sandwiches, Aloo Paratha, Chole Bhature, Panneer Butter Masala, Kulcha, Poori Chole",400
Matka,1,No,3.7 out of 5,181,Biryani,500
Punjabi Swag,1,No,3.9 out of 5,669,"Lassi, Murgh Lababdar, Makke Ki Roti, Chaap, Butter Paneer, Butter Chicken, Patiala Paneer",500
Taco Bell,1,No,3.7 out of 5,168,"Tacos, Fries, Nachos, Burrito",600
Mother's Rasoi,1,No,3.8 out of 5,170,"Buttermilk, Dal Makhani, Boondi Raita, Baingan Bharta, Aloo Paratha, Roti, Thali",250
Dosa Bazaar,1,No,4.0 out of 5,112,"Cheese Dosa, Tea, Pizza Dosa",200
The Bong Palate,1,No,3.8 out of 5,58,"Mutton Kosha, Basanti Pulao, Chicken Biryani",300
Upahara Darshini,1,No,4.0 out of 5,167,"Vada, Coffee, Masala Dosa, Gulab Jamun, Roti, Idli, Tomato Soup",400
Bikaner Jn,1,No,3.9 out of 5,85,"Thali, Dhokla, Samosa, Poha, Club Kachori, Paratha, Tea",300
Crunch Pizzas,1,No,2.6 out of 5,473,"Pie, Thin Crust Pizza, Cheesy Pizza, Pepperoni Pizza, Paneer Pizza",600
Kakal-Kai Ruchi,1,No,3.7 out of 5,217,"Masala Dosa, Babycorn Manchurian, Filter Coffee, Chaat, Dahipuri, Masala Papad, Raagi Dosa",500
Calorie Express,1,No,3.6 out of 5,192,Chicken Sandwich,450
BANGALORE BOX,1,Yes,4.2 out of 5,611,"Biryani, Chicken Bbq Wings, Mocktails, Sangria, Cocktails, Burgers, Pasta","1,500"
Ovenstory Pizza,1,No,4.0 out of 5,166,Cheesy Pizza,750
Chavadi,1,Yes,4.4 out of 5,2233,"Pizza, Cocktails, Saffron Rice, Pie, Sulemani Chai, Prawn Crackers, Waffles","1,200"
Nanna Munna Paratha House,1,No,4.0 out of 5,107,"Paratha, Palak Paneer",300
Cucumber Town,1,No,4.2 out of 5,306,"Appam, Chicken Biryani, Kuluki Sarbat, Panneer Butter Masala, Meen Pollichathu, Vellarikka Pattanam, Sea Food",600
Brewsky,1,Yes,4.4 out of 5,4309,"Pork Chops, Craft Beer, Chicken Biryani, Chowmein, Drunken Chicken Wings, Cocktails, Mocktails","1,600"
Chefeana,1,No,4.0 out of 5,212,"Paratha, Chole Bhature, Lassi, Thali, Paneer Parantha",400
Bangaliana,1,No,2.9 out of 5,153,"Masala Prawn, Mutton Kosha, Thali, Mutton Curry, Luchi, Fish Cutlet, Bengali Pulao",600
Gud Dhani,1,No,4.0 out of 5,827,"Buttermilk, Jal-jeera, Churma, Palak Kofta, Lassi, Gulab Jamun, Dahi Bhindi",500
McDonald's,1,No,4.0 out of 5,256,"Burgers, Mocha Frappe, French Fries, Maharaja Mac, Oreo Shake, Egg Wrap",500
Deejas Kitchen,1,No,3.9 out of 5,73,"Pothichoru, Roast Chicken, Fish Fry",400
Pancuzzi,1,No,4.2 out of 5,169,"Waffles, Burgers, Masala Fries, Crunchy Veg Burger, Tiramisu, Chocolate Pancakes, Oreo Shake",600
Zhang's - Chinese Restaurant,1,No,4.1 out of 5,586,"Momos, Chilli Mushroom, Chop Suey, Sweet Corn Soup, Clear Soup, Hakka Noodles, Honey Chilli Potatoes",700
Shagun Sweets & Foods,1,No,3.5 out of 5,221,"Chaat, Chole Bhature, Raj Kachori, Thali, Rasmalai, Paratha, Pav Bhaji",400
Dev's Gugababa,1,No,3.5 out of 5,177,"Fish, Rasmalai, Doi Katla, Aalo Bhaja, Bhetki Paturi, Chicken Kasha, Aloo Posto",500
Oogway Express,1,No,3.9 out of 5,347,"Noodles, Mocktails, Honey Chilli Potatoes, Veg Ball Manchurian, Kung Pao Chicken, Momos, Pepper Chicken",600
Domino's Pizza,1,No,3.0 out of 5,347,"Pizza, Garlic Bread",800
Pizza Stop,1,No,3.9 out of 5,385,"Tortilla Chips, Tabasco Pizza, Salsa, Mixed Sauce Pasta, White Sauce Pasta, Manali Pizza, Nawabi Pizza",600
The Egg Factory,1,No,4.0 out of 5,1305,"French Toast, Masala Omelette, Pasta, Egg Paratha, Caramel Custard, Biryani, Penne Alfredo",750
Chow San,1,No,3.0 out of 5,122,Noodles,500
Momo Jojo,1,No,4.3 out of 5,539,"Noodles, Corn Momo, Manchurian, Momo Platter, Veg Momos, Potato Momos, Tandoori Momos",300
Simply Indian,1,Yes,3.9 out of 5,681,"Cocktails, Ghee Roast Mutton, Mocktails, Chicken Biryani, Malai Kofta, Chicken Chatpata, Fish",800
Rithika's Kitchen,1,No,3.8 out of 5,106,"Mutton Curry, Chicken Fry, Chicken Biryani, Chicken Curry",350
Punjabi Times,1,Yes,4.1 out of 5,1025,"Chicken Tikka, Kheer, Butter Chicken, Dal Makhani, Makke Ki Roti, Lassi, Paratha","1,000"
Chai Point,1,No,3.6 out of 5,132,"Ginger Tea, Ginger Chai, Banana Cake, Masala Chai, Egg Sandwich, Vada Pav",250
Cravy Wings,1,No,4.2 out of 5,289,"Burgers, Chicken Popcorn, Peri Peri Chicken, Wings, Peri Peri Burger, Fries, Crunchy Veg Burger",400
